	name	cat	situation	title	response	word	city
0	黃捷	民政	結案	韓國瑜市長於2/24-28、3/22-28期間出訪星馬及中國南方城市，依循慣例要求市長赴議會進行「市長出訪星馬、港澳深招商及城市交流成果相關問題」專案報告。		['韓國瑜', '市長', '2/24', '-28', '3/22-28', '期間', '出訪', '星馬', '中國', '南方', '城市', '依循', '慣例', '要求', '市長', '議會', '進行', '市長', '出訪', '星馬', '港澳', '招商', '城市', '交流', '成果', '相關', '問題', '專案', '報告']	高雄市
1	方信淵	民政	結案	梓官區中正路之民眾反應，此路段錄影監視器嚴重不足。		['梓官區', '中正路', '民眾', '反應', '路段', '錄影', '監視器', '嚴重', '不足']	高雄市
2	陳若翠	民政	結案	建議訂定高雄市公民參與自治條例，讓市民參與市政重大決策機制法源化。		['建議', '訂定', '高雄市', '公民', '參與', '自治', '條例', '市民', '參與', '市政', '重大', '決策', '機制', '法源化']	高雄市
3	陳若翠	民政	結案	請市府撥交中央公園內市有建築物(門牌號碼：中華三路30號)供前金區文東、文西、榮復、長生、社東、社西、博孝、復元、國民里等九個里做為聯合活動中心。		['市府', '撥交', '中央', '公園', '市有', '建築物', '門牌', '號碼', '中華三路', '30號', '前金區', '文東', '文西', '榮復', '長生', '社東', '社西', '博孝', '復元', '國民里', '做為', '聯合', '活動', '中心']	高雄市
4	陳若翠	民政	結案	建議改制紅燈可右轉合法通則，以減少汽機車腳踏車行人右轉時的碰撞事故，增加行車通行安全。		['建議', '改制', '紅燈', '右轉', '合法', '通則', '減少', '汽機車', '腳踏車', '行人', '右轉', '碰撞', '事故', '增加', '行車', '通行', '安全']	高雄市
5	王耀裕	民政	結案	建請市府增設大寮區明德路1-23號與自由路口監視器，以確保民眾生命財產之安全。		['建請', '市府', '增設', '大寮區', '明德路', '1-23號', '自由路口', '監視器', '確保', '民眾', '生命', '財產', '安全']	高雄市
6	王耀裕	民政	結案	建請市府增設林園區林內路70巷底監視器，以確保民眾生命財產之安全。		['建請', '市府', '增設', '林園區', '林內路', '70巷', '監視器', '確保', '民眾', '生命', '財產', '安全']	高雄市
7	王耀裕	民政	結案	建請市府增設林園區中門里下厝路70巷3號前路口監視器，以確保民眾生命財產之安全。		['建請', '市府', '增設', '林園區', '中門里', '下厝路', '70巷', '3號', '路口', '監視器', '確保', '民眾', '生命', '財產', '安全']	高雄市
8	曾俊傑	民政	結案	規劃興建三民區鼎泰里里民活動中心案。		['規劃', '興建', '三民區', '鼎泰里', '里民', '活動中心']	高雄市
9	曾麗燕	民政	結案	警用無線電汰換事。		['警用', '無線電', '汰換']	高雄市
