	name	cat	situation	title	response	word	city
0	李中	市議會		建請議長向中央立法院爭取中部辦公室園區（霧峰前省議會），做為議會議事空間，除可提升議事品質，亦可將原議會空間供市政府使用，以解決市政府辦公空間不足問題案。 	請市政府研究辦理。 	['建請', '議長', '中央', '立法院', '爭取', '中部', '辦公室', '園區', '霧峰', '省議會', '做為', '議會', '議事', '空間', '提升', '議事', '品質', '議會', '空間', '市政府', '使用', '解決', '市政府', '辦公', '空間', '不足', '問題']	台中市
1	吳顯森	市議會		建請議長向中央立法院爭取中部辦公室園區（霧峰前省議會），做為議會議事空間，除可提升議事品質，亦可將原議會空間供市政府使用，以解決市政府辦公空間不足問題案。 	請市政府研究辦理。 	['建請', '議長', '中央', '立法院', '爭取', '中部', '辦公室', '園區', '霧峰', '省議會', '做為', '議會', '議事', '空間', '提升', '議事', '品質', '議會', '空間', '市政府', '使用', '解決', '市政府', '辦公', '空間', '不足', '問題']	台中市
2	段緯宇	市議會		建請議長向中央立法院爭取中部辦公室園區（霧峰前省議會），做為議會議事空間，除可提升議事品質，亦可將原議會空間供市政府使用，以解決市政府辦公空間不足問題案。 	請市政府研究辦理。 	['建請', '議長', '中央', '立法院', '爭取', '中部', '辦公室', '園區', '霧峰', '省議會', '做為', '議會', '議事', '空間', '提升', '議事', '品質', '議會', '空間', '市政府', '使用', '解決', '市政府', '辦公', '空間', '不足', '問題']	台中市
3	陳清龍	市議會		建請議長向中央立法院爭取中部辦公室園區（霧峰前省議會），做為議會議事空間，除可提升議事品質，亦可將原議會空間供市政府使用，以解決市政府辦公空間不足問題案。 	請市政府研究辦理。 	['建請', '議長', '中央', '立法院', '爭取', '中部', '辦公室', '園區', '霧峰', '省議會', '做為', '議會', '議事', '空間', '提升', '議事', '品質', '議會', '空間', '市政府', '使用', '解決', '市政府', '辦公', '空間', '不足', '問題']	台中市
4	朱元宏	市議會		建請議長向中央立法院爭取中部辦公室園區（霧峰前省議會），做為議會議事空間，除可提升議事品質，亦可將原議會空間供市政府使用，以解決市政府辦公空間不足問題案。 	請市政府研究辦理。 	['建請', '議長', '中央', '立法院', '爭取', '中部', '辦公室', '園區', '霧峰', '省議會', '做為', '議會', '議事', '空間', '提升', '議事', '品質', '議會', '空間', '市政府', '使用', '解決', '市政府', '辦公', '空間', '不足', '問題']	台中市
5	張家銨	勞工		建請市政府儘速評估制(訂)定外送平台業者管理相關法規，以積極管理藉由外送平台提供外送服務之食物安全，以及其外送員之職業安全及交通安全案。 	照審查意見通過。 	['建請', '市政府', '評估', '外送', '平台', '業者', '管理', '相關', '法規', '積極', '管理', '藉由', '平台', '提供', '外送', '服務', '食物', '安全', '以及', '外送員', '職業', '安全', '交通安全']	台中市
6	林祈烽	民政		建請市政府於臺中市生命禮儀管理處崇德殯儀館戊級禮廳(永字廳)前，增設大體通道案。 	照審查意見通過。 	['建請', '市政府', '臺中市', '生命', '禮儀', '管理處', '崇德', '殯儀館', '戊級', '禮廳', '永字廳', '增設', '大體', '通道']	台中市
7	徐瑄灃	民政		建請各區公所於其官網及臉書平台，加強宣導在地重要建設、重大工程及各級民意代表爭取之地方建設或改善工程等相關資訊，以利民眾即時了解地方變動案。 	照審查意見通過。 	['建請', '區公所', '官網', '臉書', '平台', '加強', '宣導', '在地', '重要', '建設', '重大', '工程', '民意', '代表', '爭取', '地方', '建設', '改善', '工程', '相關', '資訊', '以利', '民眾', '了解', '地方', '變動案']	台中市
8	楊典忠	民政		為改善公立殯葬設施附近地區居住環境及生活品質，建請市府依本市自治條例，規劃各納骨堂(塔)所在里之回饋經費，促進地方發展案。 	照審查意見通過。 	['改善', '公立', '殯葬', '設施', '附近', '地區', '居住', '環境', '生活', '品質', '建請', '市府', '自治', '條例', '規劃', '納骨堂', '所在', '回饋', '經費', '促進', '地方', '發展']	台中市
9	鄭功進	民政		為改善公立殯葬設施附近地區居住環境及生活品質，建請市府依本市自治條例，規劃各納骨堂(塔)所在里之回饋經費，促進地方發展案。 	照審查意見通過。 	['改善', '公立', '殯葬', '設施', '附近', '地區', '居住', '環境', '生活', '品質', '建請', '市府', '自治', '條例', '規劃', '納骨堂', '所在', '回饋', '經費', '促進', '地方', '發展']	台中市
