	name	cat	situation	title	response	word	city
0	王浩宇	工務	照案通過。	請提出全市塗銷兩線道禁行機車之道路，不強制待轉的可行性方案評估，以及試辦、實施計畫。		['提出', '塗銷', '線道', '機車', '道路', '可行性', '方案', '評估', '以及', '試辦', '實施', '計畫']	桃園市
1	朱珍瑤	警衛	照案通過。	八德興仁夜市假日人潮眾多，造成路邊違規亂停之現象，建請相關局處一同研擬解決之道。		['八德', '興仁', '夜市', '人潮', '眾多', '造成', '違規', '亂停', '現象', '建請', '相關', '局處', '研擬', '解決之道']	桃園市
2	呂淑真	教育	照案通過。	八德擴大都市計畫區增建國小案。		['八德', '擴大', '都市', '計畫', '增建', '國小']	桃園市
3	游吾和	工務	照案通過。	大園人行景觀跨橋已規畫，後續施工期程說明。		['大園', '人行', '景觀', '規畫', '後續', '施工', '期程', '說明']	桃園市
4	游吾和	工務	照案通過。	大園老街溪大觀橋順水左岸，建請先行取得工程用地施設堤防。		['大園', '老街溪', '大觀橋', '左岸', '建請', '取得', '工程', '用地', '施設', '堤防']	桃園市
5	徐其萬	警衛	照案通過。	大園沿海每年數百次淨灘活動，請權責單位做適當調整分散淨灘地點，以免重複及流於形式。		['大園', '沿海', '數百', '淨灘', '活動', '權責', '單位', '適當', '調整', '分散', '淨灘', '地點', '以免', '重複', '流於', '形式']	桃園市
6	游吾和	工務	照案通過。	大園區五青路道路拓寬目前進度說明。		['大園區', '五青路', '道路', '拓寬', '進度', '說明']	桃園市
7	徐其萬	工務	照案通過。	大園區五權里「五結路」道路美化改善工程，不如預期，原因請提出具體說明。		['大園區', '五權里', '五結路', '道路', '美化', '改善', '工程', '不如', '預期', '原因', '提出', '具體', '說明']	桃園市
8	游吾和	工務	照案通過。	大園區田心里33鄰產業道路與華興路口道路瓶頸打通，進度說明。		['大園區', '田心里', '33鄰', '產業道路', '華興路口', '道路', '瓶頸', '打通', '進度', '說明']	桃園市
9	游吾和	工務	照案通過。	大園區沙崙里桃25號縣道11鄰62之6號宅前至61快速道路止申請水泥墩護欄，目前辦理進度說明。		['大園區', '沙崙里', '25號', '縣道', '11鄰', '62之6號', '61', '快速', '道路', '申請', '水泥墩', '護欄', '辦理', '進度', '說明']	桃園市
10	游吾和	工務	照案通過。	大園區和平里平南路桃44號瓶頸拓寬，評估及進度說明。		['大園區', '和平里', '平南路', '44號', '瓶頸', '拓寬', '評估', '進度', '說明']	桃園市
11	徐其萬	警衛	照案通過。	大園區許厝港溼地「防風林」內排水溝清疏作業，建請由海管處負責接管與疏濬。		['大園區', '許厝港', '溼地', '防風林', '排水溝', '清疏', '作業', '建請', '海管處', '負責', '接管', '疏濬']	桃園市
12	游吾和	工務	照案通過。	大園區機場捷運A16站延伸至中正東路一段道路旁土地承租，先行水利溝加蓋，評估及進度說明。		['大園區', '機場', '捷運', 'A16站', '延伸至', '中正東路', '一段', '道路', '土地', '承租', '水利溝', '加蓋', '評估', '進度', '說明']	桃園市
13	陳治文	工務	照案通過。	大溪、龍潭交界既有水利會低揚2號池，請評估開發為埤塘景觀公園，達到活化埤塘功能之目的。		['大溪', '龍潭', '交界', '水利會', '低揚', '2號池', '評估', '開發為', '埤塘', '景觀', '公園', '達到', '活化', '埤塘', '功能', '目的']	桃園市
14	陳治文	警衛	照案通過。	大溪分局圳頂派出所轄區廣闊，轄內共有9個里，居住人口較多，派出所警民比偏高，要求增加圳頂派出所員額。		['大溪', '分局', '圳頂', '派出所', '轄區', '廣闊', '轄內', '居住', '人口', '較多', '派出所', '警民', '要求', '增加', '圳頂', '派出所', '員額']	桃園市
15	李柏坊	教育	照案通過。	大溪木藝生態博物館人力不足案。		['大溪', '木藝', '生態', '博物館', '人力', '不足']	桃園市
16	陳治文	工務	照案通過。	大溪埔頂公園內共融式遊戲設施目前進度為何？		['大溪', '埔頂', '公園', '共融式', '遊戲', '設施', '進度']	桃園市
17	陳治文	工務	照案通過。	大溪溪洲轉運站目前進度及未來規劃為何，建請納入敦親睦鄰方案。		['大溪', '溪洲', '轉運站', '進度', '規劃', '建請', '納入', '敦親睦鄰', '方案']	桃園市
18	林俐玲	建設	照案通過。	工輔法即將實施，本席建議應在龜山舉辦說明會，以利民眾了解申請。		['工輔法', '實施', '建議', '龜山', '舉辦', '說明會', '以利', '民眾', '了解', '申請']	桃園市
19	李柏坊	警衛	照案通過。	天羅地網對地區是非常重要的設備案。		['天羅地網', '地區', '非常', '重要', '設備案']	桃園市
20	謝美英	工務	照案通過。	加速中壢（龍岡地區）都市計畫區公共設施開闢進度、增闢停車場。		['加速', '中壢', '龍岡', '地區', '都市', '計畫', '公共', '設施', '開闢', '進度', '增闢', '停車場']	桃園市
21	陳治文	教育	照案通過。	北橫線觀光建設得到中央3億多的經費，如何規劃？		['北橫線', '觀光', '建設', '得到', '中央', '3億多', '經費', '規劃']	桃園市
22	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，66快速道路銜接二高系統其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '66', '快速', '道路', '銜接', '二高', '系統', '可行性', '評估', '規劃', '執行', '進度']	桃園市
23	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，大溪-八德第二交流道其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '大溪', '八德', '第二', '交流道', '可行性', '評估', '規劃', '執行', '進度']	桃園市
24	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，大溪埔頂轉運站其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '大溪', '埔頂', '轉運站', '可行性', '評估', '規劃', '執行', '進度']	桃園市
25	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，大漢溪順水左岸河岸道路其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '大漢溪', '順水', '左岸', '河岸', '道路', '可行性', '評估', '規劃', '執行', '進度']	桃園市
26	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，崁津大橋接石園路其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '崁津', '大橋', '石園路', '可行性', '評估', '規劃', '執行', '進度']	桃園市
27	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，區內開瓶計畫其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '計畫', '可行性', '評估', '規劃', '執行', '進度']	桃園市
28	陳治文	工務	照案通過。	市府在大溪區內有很多重大的建設，崎頂高架系統其可行性評估、規劃及執行進度為何？		['市府', '大溪區', '重大', '建設', '崎頂', '高架', '系統', '可行性', '評估', '規劃', '執行', '進度']	桃園市
29	陳治文	工務	照案通過。	市府積極推動埔頂水資源中心建設，以改善埔頂重劃區生活污水，請說明目前執行最新進度。		['市府', '積極', '推動', '埔頂', '資源', '中心', '建設', '改善', '埔頂', '重劃區', '生活', '污水', '說明', '執行', '進度']	桃園市
30	徐其萬	工務	照案通過。	本區沙崙里「台61」橋墩131-138橋下空間設置摩托車極限運動場與停車場作業嚴重落後，請提出說明。		['沙崙里', '台61', '橋墩', '131-138', '空間', '設置', '摩托車', '極限', '運動場', '停車場', '作業', '嚴重', '落後', '提出', '說明']	桃園市
31	陳治文	工務	照案通過。	本區偏鄉地域廣，要求大溪區公所調查轄內各里路燈不亮的數量並立即提出改善方案及改善期程。		['偏鄉', '地域', '要求', '大溪', '區公所', '調查', '轄內', '路燈', '數量', '提出', '改善', '方案', '改善', '期程']	桃園市
32	陳治文	民政	照案通過。	目前桃園市內收容機構面臨中、重度身心障礙者床位及收養機構嚴重不足等問題，請研議改善對策並提出說明。		['桃園市', '收容', '機構', '面臨', '重度', '身心', '障礙', '床位', '收養', '機構', '嚴重', '不足', '問題', '研議', '改善', '對策', '提出', '說明']	桃園市
33	黃敬平	民政	照案通過。	因應2020總統、立委大選將至，建請桃園市政府各機關應要求其民力組織恪守行政中立。		['因應', '2020', '總統', '立委', '大選', '建請', '桃園市', '政府', '機關', '要求', '民力', '組織', '恪守', '行政', '中立']	桃園市
34	陳治文	工務	照案通過。	如何提升本市公車上、下車開啟前、後門比例？並請針對乘客上、下車安全提出改善對策。		['提升', '公車', '下車', '開啟', '後門', '比例', '針對', '乘客', '下車', '安全', '提出', '改善', '對策']	桃園市
35	朱珍瑤	工務	照案通過。	有關八德區光雄新村內路燈不足一案，詳如說明，建請相關局處考慮治安迅速辦理。		['有關', '八德區', '光雄', '新村', '路燈', '不足', '說明', '建請', '相關', '局處', '考慮', '治安', '迅速', '辦理']	桃園市
36	陳治文	工務	照案通過。	有關大嵙崁水與綠整體計畫目前規劃方向與辦理進度，請說明。		['有關', '大嵙崁', '整體', '計畫', '規劃', '方向', '辦理', '進度', '說明']	桃園市
37	陳治文	民政	照案通過。	有關大溪區大溪行政園區預定地，目前檢討進度為何？		['有關', '大溪區', '大溪', '行政', '園區', '預定地', '檢討', '進度']	桃園市
38	陳治文	工務	照案通過。	有關大漢溪順水右岸月眉親子休閒運動公園（如棒壘球場、多功能運動草皮、公共廁所等設施）目前規劃如何？		['有關', '大漢溪', '順水', '右岸', '月眉', '親子', '休閒', '運動', '公園', '棒壘球場', '運動', '草皮', '公共', '廁所', '設施', '規劃', '如何']	桃園市
39	林志強	工務	照案通過。	有關大漢溪順水右岸月眉親子休閒運動公園（如棒壘球場、多功能運動草皮、公共廁所等設施）目前規劃如何？		['有關', '大漢溪', '順水', '右岸', '月眉', '親子', '休閒', '運動', '公園', '棒壘球場', '運動', '草皮', '公共', '廁所', '設施', '規劃', '如何']	桃園市
40	陳治文	工務	照案通過。	有關大漢溪順水右岸親水運動公園（棒壘球場、多功能運動草皮及公共廁所等設施）目前規劃如何？		['有關', '大漢溪', '順水', '右岸', '親水', '運動', '公園', '棒壘球場', '運動', '草皮', '公共', '廁所', '設施', '規劃', '如何']	桃園市
41	陳治文	工務	照案通過。	有關大漢溪順水左岸防汛道路，其規劃進度如何？		['有關', '大漢溪', '順水', '左岸', '防汛', '道路', '規劃', '進度', '如何']	桃園市
42	黃家齊	工務	照案通過。	有關中正里館後一街打通至中山路568巷案。		['有關', '中正里', '館後一街', '打通', '中山路', '568巷']	桃園市
